,CourseID,CourseName,Credits,Prerequisites,CoRequisites,Description,Availability,Repeatability,CourseFees
39,ADV 4800, Advertising Campaigns,3, ADV 3008 and ADV 3101 and MMC 1004 and MMC 4420 or ADV 3500 and MMC 3105,N/A, This course is designed to give students an opportunity to plan and execute a full-scale advertising campaign. The students will develop and analyze a specialized advertising plan designed to reach designated target audiences for a specific client. The plan will incorporate all elements necessary to implement an effective campaign.,N/A,N/A, $75
40,ADV 4930, Special Topics in Advertising,3," MMC 3105, ADV 3008",N/A,"This course will explore important issues pertaining to the theory, research, and practice of advertising in a seminar format. Issues will vary from semester to semester. The course may be repeated up to a total of 6 credits.",N/A,N/A,N/A
41,ADV 5408, Strategic Branding,3,N/A,N/A,"The primary objective of the course is to provide students with a comprehensive analysis of branding, brand equity and strategic brand management. The course will explore the design and implementation of marketing programs to build, measure and manage brand equity. Students will be exposed to tools and strategies designed to create a strategic competitive advantage in the marketplace.",N/A,N/A,N/A
42,AFH 3100, Ancient Africa to 1850,3,N/A,N/A," A foreign culture course that emphasizes African social, cultural, and material changes from the archaeological and historical record. The course covers Africa's encounters with old and new religious traditions (including Christianity and Islam), the rise of major kingdoms (Ghana, Mali, and Kongo), and the global significance of how slavery affected African societies and the African diaspora via the trans-Saharan, Indian Ocean, and trans-Atlantic Slave Trades.",N/A,N/A,N/A
43,AFH 3200, History of Modern Africa: From 1807-Present,3,N/A,N/A, This course explores the history of Sub-Saharan Africa from the end of the Trans-Atlantic Slave Trade to the present. Emphasis will be placed upon African perspectives toward trade; the partition of Africa; methods of colonial rule; the rise of nationalism; decolonization movements; and the emergence of post-colonial nation-states.,N/A,N/A,N/A
44,AFH 3252," War, Genocide, and HIV in Mod. Africa",3,N/A,N/A," Africa's post-colonial history is designed to introduce and further develop student interest and knowledge about current problems that many Sub-Saharan African countries face. We will use several important case studies from a variety of African nations to talk about four broad, but pressing problems: aid and development; HIV/AIDS and malaria; genocide; and child labor/child soldiers.",N/A,N/A,N/A
45,AFH 3301, Ancient Egypt,3,N/A,N/A," This course will explore the history, culture, and society of ancient Egypt, from the time of the earliest settlers in the Nile valley to the incorporation of Egypt into the Roman Empire. It will use readings from ancient Egyptian texts, along with examination of the archaeological remains of Egyptian civilization, to reconstruct the world of the ancient Egyptians.",N/A,N/A,N/A
46,AFH 3450, (CD)(FC) South Africa,3,N/A,N/A,This class investigates the origins and development of South Africa from the colonial period in the seventeenth century to the present. The course examines the complex interactions between the myriad groups during different eras of South African history. The class also compares and contrasts the history of race relations in South Africa and the United States.,N/A,N/A,N/A
47,AFH 6935, Readings in African History,3,N/A,N/A,"This course is a reading seminar that exposes students to important historiographic debates within the field of African History. The readings include monographs that touch on critical topics, such as: slavery and the slave trade, cultural history, gender, medicine, development, and the colonial encounter.",N/A,N/A,N/A
48,AFS 3262, African Diaspora Studies,3,N/A,N/A," The African diaspora refers to communities of people descended from Africans who moved or were removed from Africa to other parts of the world, primarily the Americas, Europe, Asia, and the Middle East. This course will introduce students to the concept of the African diaspora from an interdisciplinary perspective and involve students in community based learning regarding the African diaspora as it manifests locally. No pre- or co-requisites are required.",N/A,N/A,N/A
49,AMH 2000, United States History Survey,3,N/A,N/A,"This is a one semester course examining significant events and themes of the American past, and the men, women, institutions, ideas and forces that have shaped that past into our contemporary civilization.",N/A,N/A,N/A
50,AMH 2010, United States History to 1877,3,N/A,N/A,"This course emphasizes the European background, causes and consequences of the Revolution, growth of democracy, westward expansion, causes and consequences of the Civil War and Reconstruction.",N/A,N/A,N/A
51,AMH 2020, United States History since 1877,3,N/A,N/A,"A history of the United States since 1877 emphasizing industrialization and urbanization, the Progressive period, the New Deal, post-World War II domestic reform and the emergence of the U.S. as a world power.",N/A,N/A,N/A
52,AMH 3111, Early America,3,N/A,N/A,"The European background of colonization and the evolution of social, political, economic and religious institutions in the colonies to 1763; the development of slavery; white-Indian interactions and their environmental consequences.",N/A,N/A,N/A
53,AMH 3130, American Revolution/Constitution,3,N/A,N/A,"An examination of the economic, political and social causes and consequences of the American Revolution; the impact of international events on the course of the revolution; and the origins of the Constitution.",N/A,N/A,N/A
54,AMH 3150, Age of Jefferson and Jackson,3,N/A,N/A,"The era encompassing the lives and careers of Thomas Jefferson and Andrew Jackson, with special reference to the emergence of major political parties and social attitudes and government policies regarding Native Americans and Afro-Americans.",N/A,N/A,N/A
55,AMH 3170, Civil War/Reconstruction,3,N/A,N/A,"Examines the economic, political, social and moral origins of the war; the course of the conflict; and the meaning and impact of Reconstruction.",N/A,N/A,N/A
56,AMH 3202, The United States Since World War I,3,N/A,N/A,"Examines the social, political, economic, technological and cultural forces and events that have shaped American history since World War I.",N/A,N/A,N/A
57,AMH 3220, The Making of Modern America 1877-1920,3,N/A,N/A,"This course examines the transformation of American society from the end of the Civil War era through the First World War in the areas of industrialization, urbanization, immigration, diplomacy, government, culture, and the way Americans thought about themselves.",N/A,N/A,N/A
58,AMH 3233, U.S. in the 1920's,3,N/A,N/A,"This class offers an investigation of the many facets of America in the 1920s. The themes and images portrayed in the literature of the period will constitute one major focus of this course. Students will read poetry and prose of major American artist of the period. Students will also investigate accounts of historians and other scholars who analyze the social, economic, political and cultural dimensions of the decade known as the ""Jazz Age"" and the ""Roaring 20s"".",N/A,N/A,N/A
59,AMH 3312, CD-Gender in the United States,3,N/A,N/A,"This course explores the changing meaning and significance of gender and sexuality in the United States over time and across cultures. Particular attention will be paid to variations in gender roles, the status of men and women, sexual behavior and identity in diverse cultures in America, as well as challenges to gender and sexual status quo from the colonial period to the present.",N/A,N/A,N/A
60,AMH 3402, History of the Old South,3,N/A,N/A,"This course will introduce students to the history of the American South from the beginnings of European settlement in the early 17th century to the end of the Civil War. We will explore the various peoples that interacted in different parts of the South, including Native Americans, Africans, and British, French, and Spanish colonists. A central theme of the course will be the development of racial slavery in Britain's North American colonies. We will explore how and why this institution developed and seek to understand the experience of both slaveholders and enslaved people. We will also look in detail at the social and economic growth of the Southern colonies and their participation in the larger Anglo-American world. Students will examine how important movements and events in American history were created and experienced by Southerners, including the American Revolution, the Second Great Awakening, Jacksonian political battles, and the Market Revolution.",N/A,N/A,N/A
61,AMH 3403, History of the New South,3,N/A,N/A,"This course introduces students to the history of the American South after the Civil War. We will consider the separate regions of the South-Lowcountry, Peidmont, Mountain- and how these have changed over time. A central focus of the course will be the development and changes in Southerners' thinking about race and racial difference. We will also consider other ways that Southerners identified and organized themselves- by gender, class, religious beliefs, political ideologies, and residence. Of central importance will be the social and economic changes in the 20th century South, including the increased industrialization and urbanization of the region.",N/A,N/A,N/A
62,AMH 3420, Florida History,3,N/A,N/A,"History of Florida from its colonial origins to the present. Economic, social, and political developments in Florida will be compared to other states in the region and in the nation. Case studies of topics in Florida history will focus on Jacksonville and other cities and regions in the state.",N/A,N/A,N/A
63,AMH 3440, The Frontier in American History,3,N/A,N/A,"An examination of the frontier, both as historical reality and as historiographical concept, in America from late colonial times to the present.",N/A,N/A,N/A
64,AMH 3444, CD - Peoples of the American West,3,N/A,N/A,"The course constitutes the history of various groups of people who have populated the American West from pre-Columbian times to the present. The Southwest will be the focal point. Many references, however, will be made to the Pacific Northwest.",N/A,N/A,N/A
65,AMH 3460, American Cities and Suburbs,3,N/A,N/A,"This course examines urban growth from colonial towns and cities to 20th century metropolitan centers. It also focuses on city builders, party bosses and reformers, immigrants and black migrants, slums and suburbs, and popular culture to offer a historical perspective on contemporary American society.",N/A,N/A,N/A
66,AMH 3511, The United States in World Affairs,3,N/A,N/A,"A thematic analysis of U.S. foreign policy from independence to the present. Concepts like self-defense, economic expansion, international policeman and moral crusading are examined in connection with major events.",N/A,N/A,N/A
67,AMH 3544, The 1960s and Vietnam,3,N/A,N/A,"An examination of the key political, economic, and cultural developments in the U.S. during the 1960s, with special reference to the Kennedy and Johnson administrations; and analysis of the Second Indochina War from Vietnamese and American perspectives.",N/A,N/A,N/A
68,AMH 3571, (CD) Introduction to African-American History,3,N/A,N/A,"The African-American experience from the colonial period to the Civil War era, from slavery to freedom. Key themes include the evolution of the African-American family and community, and the emancipation and civil rights movements before the 20th century.",N/A,N/A,N/A
69,AMH 3580, (CD) American Indian History,3,N/A,N/A,"This course examines North American Indian history from the pre-colonial period through the late twentieth century. We focus on understanding how different American Indian nations resisted and responded to the challenges (and opportunities) presented by European colonization, westward expansion, and U.S. federal and state policies. The course studies the diversity of American Indian societies and their experiences, and the historical roots of key issues in American Indian communities today.",N/A,N/A,N/A
70,AMH 3630, Environmental History of the United States,3,N/A,N/A," Focusing on the United States, this course explores the relationship between humans and Nature over time. In particular, we will consider the way that humans have changed Nature, how Nature has changed human lives, and the laws and institutions that have moderated such interactions. Scholars in this field are concerned with such things as deforestation, pollution, climate change, cities, farming, and “green” politics among other things. This is a course on human history, not natural history. As a relatively new field, environmental history allows us to pose important and/or well-worn historical questions in new ways, or to ask new questions about old historical topics. This will be a lecture based class, although we will draw upon discussions, films, and field trips. Students' learning will be assessed through quizzes, essays, a midterm, and a final.",N/A,N/A,N/A
71,AMH 3672, Atlantic Slave Trade,3,N/A,N/A,"This course introduces students to the origins of the slave trade between Africa and the Americas. Specifically, we will examine the motivations that drove Africans and Europeans to create a system of slave sales and use in the New World. We will attempt to understand the people of early modern West and Central Africa on their own terms, explore western Europe and the aspirations and purposes behind the exploration of both Africa and the Americas, understand the processes and outcomes of the Trans-Atlantic Slave Trade, and explore the development of multiple slave systems within the Americas.",N/A,N/A,N/A
72,AMH 3673, The Civil Rights Movement,3,N/A,N/A,"The history of the Civil Rights Movement in the late twentieth century in the United States is the focus of this course. In addition, the role of the media and the way in which various aspects of popular culture have promoted and depicted the struggle for racial equality in America will be examined. Consequently, in addition to standard history text, the students will read and analyze literary works, films and music to gain insight into the social, political and cultural impact of the Civil Rights Movement.",N/A,N/A,N/A
73,AMH 3932, Selected Topics: US History,3,N/A,N/A,This course will present selected topics in US history. Subjects will vary according to instructor. The course may be repeated up to five times for a total of 15 credits under different topics.,N/A,N/A,N/A
74,AMH 4291, Seminar: 20th Century America,3," HIS 3051 or permission of instructor. An investigation of topics, eras, or themes in U.S. history in the 20th century. Topics, eras or themes may vary. May be repeated for 6 credits with consent of the instructor.",N/A,3 credits,N/A,N/A,N/A
75,AMH 4390, Seminar: 19th Century U.S.,3, HIS 3051 or permission of the instructor.,N/A,"This seminar will investigate topics, eras, or themes in U.S. history in the 19th century. Topics, eras, or themes may vary.",N/A,N/A,N/A
76,AMH 4491, Seminar: Local History,3," HIS 3051 or permission of instructor. A research and writing workshop intended for any upper-level student seriously interested in local history. Although the focus of the seminar is the Northeast Florida region, the techniques learned should be equally applicable to any locality in the U.S.",N/A,3 credits,N/A,N/A,N/A
77,AMH 4497, Seminar: History of the American City,3," HIS 3051or permission of instructor. Urban America since World War II; federal-city relations, suburbanization and sprawl, urban minorities, urban culture, downtown revitalization, and the rise of the Sunbelt. Special attention will be given to Jacksonville.",N/A,3 credits,N/A,N/A,N/A
78,AMH 4584, Native Southerners,3, HIS3051,N/A," This seminar examines key themes in the history of Native Americans who lived in the Southeastern United States from the late Mississippian period (1500s) through the Removal era (1830s) and into the present. We pay particular attention to the South as Native-controlled space and to Native strategies of survival and innovation in the face of enslavement, war, epidemics, migration, and forced removal from their homelands. Students will be trained in reading primary sources through Indigenous lenses.",N/A,N/A,N/A
79,AMH 4906, Directed Individual Study,13, Written consent of the instructor. May be repeated for 6 credits with consent of chairperson.,N/A,v. 1-3 credits,N/A,N/A,N/A
80,AMH 5235, U.S. in the 1920's,3,N/A,N/A,"This class focuses on the American experience in the 1920s. It explores many facets of the decade including the concept of the ""New Woman,"" the Harlem Renaissance, nativism, the ascendancy of the Republican Party, and Prohibition. The themes and images portrayed in the literature of the period will constitute one major focus of this course. Students will read poetry and prose of major American artists. In addition students will investigate accounts of historians and scholars who analyze the era of the 1920s.",N/A,N/A,N/A
81,AMH 5395, Mark Twain's America,3,N/A,N/A,"This course covers American society, culture, and politics during Mark Twain's lifetime, 1835-1910. The readings for the course consist in the main of books and essays written by Mark Twain. The premise of the course is that, if one studies American history while reading Twain, one can better appreciate his major literary works; conversely, if one reads Twain while studying American history, one can gain insights into past events not found in conventional history texts.",N/A,N/A,N/A
82,AMH 5446, The Frontier in American History,3,N/A,N/A,"An examination of the frontier, both as historical reality and as historiographical concept, in America from late colonial times to the present.",N/A,N/A,N/A
83,AMH 5515, U.S. in World Affairs,3,N/A,N/A,"A thematic analysis of U.S. foreign policy from independence to the present. Concepts like self defense, economic expansion, international policeman and moral crusading are examined in connection with major events.",N/A,N/A,N/A
84,AMH 5587, Native Southerners,3,N/A,N/A," This seminar examines key themes in the history of Native Americans who lived in the Southeastern United States from the late Mississippian period (1500s) through the Removal era (1830s) and into the present. We pay particular attention to the South as Native-controlled space and to Native strategies of survival and innovation in the face of enslavement, war, epidemics, migration, and forced removal from their homelands. Students will be trained in reading primary sources through Indigenous lenses.",N/A,N/A,N/A
85,AMH 5675, Atlantic Slave Trade,3,N/A,N/A,"This course will introduce students to the origins of the slave trade between Africa and the Americas. Specifically, we will examine the motivations that drove Africans and Europeans to create a system of slave sales and use in the New World. We will attempt to understand the people of early modern West and Central Africa on their own terms, explore western Europe and the aspirations and purposes behind the exploration of both Africa and the Americas, understand the processes and outcomes of the Trans-Atlantic Slave Trade, and explore the development of multiple slave systems within the Americas.",N/A,N/A,N/A
86,AMH 5934, Selected Topics: US History,3,N/A,N/A,This course will present selected topics in US history. Subjects will vary according to the instructor. The course may be repeated up to 5 times for a total of 15 credits under different topics.,N/A,N/A,N/A
87,AMH 6256, Era of World War II,3,N/A,N/A,"Our purpose during this course is to examine and analyze the era of World War II by focusing upon five major problems: 1) Origins of the European War, 2) The Pearl Harbor Attack, 3) The Latin American Role, 4) Wartime Diplomacy, and 5) Origins of the Cold War.",N/A,N/A,N/A
88,AMH 6429, Early Florida,3,N/A,N/A," This graduate research seminar examines the history of early Florida, from sixteenth-century encounters between Indians and Spanish conquistadores to the Seminole Wars. Key topics include Florida as an American Indian country, a magnet for runaway slaves, pivotal borderlands in imperial and regional contestations, and a lasting frontier in the United States. Special emphasis is placed on local history and the use of digital and local archives. No Spanish language skills are needed for this course.",N/A,N/A,N/A
89,AMH 6905, Readings in American History I,3,N/A,N/A,"This course is designed to introduce students to major thematic issues in American history up to 1865. The course is organized chronologically, and serves to extend the students' grasp of factual material as well as to highlight key historiographical issues.",N/A,N/A,N/A
90,AMH 6907, Readings in American History II,3,N/A,N/A,"This course is designed to introduce students to major thematic issues in American history after 1865. The course is organized chronologically, and serves to extend the students' grasp of factual material as well as to highlight key historiographical issues.",N/A,N/A,N/A
91,AMH 6935, Directed Reading in American History,3,N/A,N/A,"Directed reading in American history for graduate students. Topics, eras, or themes will vary. May be repeated for up to 9 credits under different topics with permission of the graduate advisor.",N/A,N/A,N/A
92,AMH 6936, Seminar in American History,3,N/A,N/A,"Graduate research seminar in American history. Topics, eras, or themes will vary. May be repeated for up to 15 credits under different topics with permission of the graduate advisor.",N/A,N/A,N/A
93,AML 2010, American Literature I,3,N/A,N/A, This course surveys major American literature from the Colonial period to the US Civil War.,N/A,N/A,N/A
94,AML 2020, American Literature II,3,N/A,N/A, This course surveys major American literature from the US Civil War to the present.,N/A,N/A,N/A
95,AML 3041, Periods of Later American Literature,3, One course in literature.,N/A," This course will consist of readings in American literature from the Civil War to the present, with particular attention devoted to two or more distinct periods. We will consider the ways in which such periods as the ""modern"" or ""post-modern"" are constructed.",N/A,N/A,N/A
96,AML 3102, American Fiction,3,N/A,N/A," The nature and development of American fiction in works by such authors as Charles Brockden Brown, Edgar Allan Poe, Herman Melville, Mark Twain, Kate Chopin, Stephen Crane, Charles Chesnutt, F. Scott Fitzgerald, Ernest Hemingway, William Faulkner, Richard Wright, John Steinbeck, John Gardner, Ronald Sukenick and Joyce Carol Oates.",N/A,N/A,N/A
97,AML 3154, American Poetry,3,N/A,N/A," American poetry from the colonial period to the present, with variable emphasis. See department office for reading list.",N/A,N/A,N/A
98,AML 3621, (GW) Black American Literature,3,N/A,N/A,"Poetry, drama, prose, and fiction as significant dimensions of American culture. Studies may include slave narratives, Douglas, Dunbar, Cullen, Brooks, Hughes, McKay, Wright, Ellison, Baldwin, Jones and Reed. Gordon Rule English credit.",N/A,N/A,N/A
99,AML 4242, Studies in 20th Century American Literature,3, At least one literature course at the 3000 level or permission of instructor. Readings in 20th century American literary texts. Focus will differ with each offering. See department office for reading list.,N/A,3 credits,N/A,N/A,N/A
100,AML 6506, Studies in Early American Literature,3,N/A,N/A, This course covers selected themes and topics in American Literature before 1864.,N/A, This course may be repeated up to 15 credit hours.,N/A
101,AML 6507, Studies in Later American Literature,3,N/A,N/A, This course will cover selected themes and topics in American literature after 1864.,N/A, This course may be repeated up to 15 credit hours.,N/A
